Id,SalePrice
1461,125622.55386381611
1462,163911.80991323883
1463,154267.57358278995
1464,168193.02718433653
1465,234084.6885543332
1466,160965.7262819823
1467,163171.07559753492
1468,152700.99865429758
1469,202769.28132661924
1470,133828.1003846925
1471,204591.7733696481
1472,107352.58618862594
1473,112970.69513913909
1474,156157.73729417374
1475,135967.43181046488
1476,375161.61461232015
1477,269315.20335743285
1478,302859.335156495
1479,281347.0096041994
1480,391498.432021635
1481,323566.1040486793
1482,235944.9549338214
1483,181789.50982581984
1484,175885.31597746757
1485,159135.86633650228
1486,193222.71047975184
1487,325761.64831619046
1488,261479.3291459303
1489,191947.1124983785
1490,189211.7671857197
1491,185681.25366538312
1492,114485.58031900674
1493,174432.39602695277
1494,292547.69710632943
1495,295950.05562736996
1496,215099.63114201376
1497,192292.7320467085
1498,150421.36545450287
1499,154773.45417480468
1500,151107.05123762396
1501,173350.8510806768
1502,145441.2558092611
1503,282981.4621656265
1504,252390.74020023146
1505,216699.2209133461
1506,193266.87062943503
1507,204686.12423669428
1508,205116.84533320318
1509,156766.11924198802
1510,152147.48048838275
1511,151377.52367058734
1512,169341.2194945906
1513,157518.6754816973
1514,168828.598166492
1515,178321.59053222983
1516,153432.46736552648
1517,149973.5542223873
1518,155936.24125772066
1519,219492.79152949745
1520,139671.8618193949
1521,127600.02233545645
1522,167195.8925266519
1523,117730.4893307528
1524,133232.21135343838
1525,126933.3876787583
1526,135661.31287614323
1527,116161.13174389553
1528,127251.19278863068
1529,143730.43183604383
1530,173377.27604527425
1531,125091.33040464457
1532,122731.43779011727
1533,160569.07607438252
1534,119092.99213622946
1535,141941.02632367518
1536,120234.66648867882
1537,107008.8341222057
1538,205289.1819163716
1539,284407.8393173537
1540,133436.49841840382
1541,153299.75102915484
1542,148308.66423439456
1543,231265.44674736675
1544,99316.48224456824
1545,115473.80710245713
1546,128683.21453126818
1547,129372.75498983628
1548,131712.60114176947
1549,111592.75924281924
1550,144316.4799853263
1551,136542.3427383076
1552,138557.78844728306
1553,139143.13136089442
1554,122983.05735229774
1555,155539.8876800505
1556,112339.7610760892
1557,144253.43778298915
1558,106189.27395478613
1559,119841.65586655602
1560,145372.45528373952
1561,171377.95661503475
1562,136406.3940123363
1563,131507.67692642342
1564,169384.22696009735
1565,137959.9001446482
1566,212007.87193705927
1567,97561.92879856638
1568,195047.3853917761
1569,145197.4063435443
1570,133334.29320053753
1571,120544.41019066218
1572,145448.0121534416
1573,218223.99043355178
1574,159268.26775726207
1575,211251.45369989044
1576,189728.82631869402
1577,191551.29575486697
1578,150982.46836567888
1579,139035.8126887186
1580,189027.06519027232
1581,143020.84603847523
1582,137469.84839228183
1583,320633.9960357384
1584,239788.59618010852
1585,143444.14066011884
1586,90084.27189982828
1587,101829.67184910143
1588,146097.48315971356
1589,107401.18268038797
1590,146639.42714063753
1591,120735.36754535456
1592,148399.0696288127
1593,131406.0741192473
1594,156854.63522877812
1595,134144.1468885768
1596,233678.61057574753
1597,156700.37608864295
1598,178644.98913502647
1599,218903.86343861982
1600,238114.78351959144
1601,80334.87925500916
1602,120280.01600212978
1603,108897.96777488026
1604,299168.6333926835
1605,267744.7623968835
1606,164288.71603389346
1607,219440.27373806888
1608,213136.21853752912
1609,187688.67165258605
1610,134760.45030461252
1611,150611.79353937032
1612,174411.10551880955
1613,166359.23105201143
1614,136577.8659022039
1615,98112.87729476501
1616,98112.87729476501
1617,105204.50212874578
1618,126846.65445137123
1619,132745.32255632017
1620,189790.99053982363
1621,130828.66762675629
1622,135945.78156867763
1623,276339.086265497
1624,196532.61287263036
1625,130317.30611575095
1626,173291.64301579708
1627,166910.11175312012
1628,281625.2902461536
1629,162730.0791801976
1630,352838.90199651674
1631,251072.25665073586
1632,263320.57123628515
1633,153791.94770326655
1634,179751.16541990684
1635,171363.6989933816
1636,160192.27993722487
1637,170897.52377277537
1638,210269.94575907456
1639,180525.55125921548
1640,231143.22271834794
1641,181932.18807569047
1642,226009.65218018307
1643,251647.9555038206
1644,237409.71099395934
1645,172007.66365864247
1646,153593.7406875702
1647,162794.156072137
1648,147768.82630607174
1649,140419.7106544047
1650,131254.0944411421
1651,125472.71943593261
1652,107738.30877948174
1653,107738.30877948174
1654,156078.9227664428
1655,159519.66277760334
1656,155315.58880429956
1657,165413.78577583772
1658,156648.2376414853
1659,140813.7443632479
1660,141074.6525325817
1661,388136.114002649
1662,388180.4860204815
1663,357888.61219233734
1664,384716.6391741385
1665,329143.3288215016
1666,286449.6435082382
1667,321658.2510996925
1668,343638.08896956773
